Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
16.  AN83_coor_573_577.tif	6df088ef-7a8b-47da-b239-3962249778b1	Annotation	Root		Root object (Image)	Geometry	4423.2	8072	NaN	NaN	NaN	5362	72317537.2	64766.3
16.  AN83_coor_573_577.tif	3e233287-d2d5-45cf-a8c1-9ed9ee7801b7	Annotation	Root		Root object (Image)	Geometry	4423.2	8072	NaN	NaN	NaN	5362	72317537.2	64766.3
16.  AN83_coor_573_577.tif	c9a53950-1b30-4788-96d5-88aedcf6965d	Annotation	root	Left: root	Root	Polygon	2640.8	8191.7	997	0	NaN	3028	34658839.4	32099.2
16.  AN83_coor_573_577.tif	2daf42c7-b571-424c-b5b7-bad13edbff23	Annotation	grey	Left: grey	root	Geometry	2623.2	8099.8	8	0	997	2428	30537932.6	93289.5
16.  AN83_coor_573_577.tif	f674f03a-6438-4b47-bb80-77bf9e4213dd	Annotation	CB	Left: CB	grey	Geometry	2729.9	12205.2	512	0	8	219	5383219.6	28413.1
16.  AN83_coor_573_577.tif	af6238a8-b223-428c-87a4-c7e2d598a23c	Annotation	CBN	Left: CBN	CB	Geometry	3105.1	12056.2	519	0	512	112	691597.3	5056.3
16.  AN83_coor_573_577.tif	1ebdb461-1266-4b8c-9bf5-548ef69ac398	Annotation	IP	Left: IP	CBN	Geometry	2928.1	12028.1	91	0	519	108	518137.3	3396.8
16.  AN83_coor_573_577.tif	6f6e8bc5-924b-4ec7-a27d-4c1d25ce49c2	Annotation	FN	Left: FN	CBN	Polygon	3633.9	12140.2	989	0	519	4	173460	1659.5
16.  AN83_coor_573_577.tif	c644708e-46ca-4190-87bb-ceb86ac17d83	Annotation	CBX	Left: CBX	CB	Geometry	2656.5	12241	528	0	512	87	4558487.4	23422.1
16.  AN83_coor_573_577.tif	9a73dbe8-052f-414e-93f1-386eb67901d8	Annotation	HEM	Left: HEM	CBX	Polygon	2118.3	12254.6	1073	0	528	35	2962102.9	14970.2
16.  AN83_coor_573_577.tif	8fc044f2-a958-4e18-abb3-83a6d4606e1b	Annotation	PRM	Left: PRM	HEM	Polygon	2455.7	12810.1	1025	0	1073	13	908653.7	5638.2
16.  AN83_coor_573_577.tif	6c98a693-3392-4ed2-bb4f-8d368a24199b	Annotation	COPY	Left: COPY	HEM	Polygon	3141.6	12914	1033	0	1073	0	483798.6	4868.6
16.  AN83_coor_573_577.tif	93cee40b-2747-4642-922c-85266d7b681a	Annotation	SIM	Left: SIM	HEM	Polygon	1998	11051.6	1007	0	1073	14	325061.5	3141.8
16.  AN83_coor_573_577.tif	db0109c2-8475-415e-b7ba-b96a6135866e	Annotation	AN	Left: AN	HEM	Polygon	1505.7	11907.3	1017	0	1073	8	1244587.5	6864.5
16.  AN83_coor_573_577.tif	8dfe2f7b-71cf-4643-b078-ab82aa9e09ad	Annotation	ANcr1	Left: ANcr1	AN	Polygon	1513.7	11428.6	1056	0	1017	3	454675.4	3938.5
16.  AN83_coor_573_577.tif	3caf4309-81c8-4d54-8806-41a60fabbbcb	Annotation	ANcr2	Left: ANcr2	AN	Polygon	1501.1	12183.4	1064	0	1017	5	789915.5	4711.2
16.  AN83_coor_573_577.tif	b2d218dd-300b-4f28-bb27-534a09464738	Annotation	VERM	Left: VERM	CBX	Geometry	3655.1	12215.7	645	0	528	52	1596384.5	11083.8
16.  AN83_coor_573_577.tif	e1b71bc6-8faa-47ef-9bdd-a818603a566a	Annotation	LING	Left: LING	VERM	Geometry	4158	12134.7	912	0	645	0	47853.9	1387.7
16.  AN83_coor_573_577.tif	dab93f5c-9c9f-4178-933e-bc4ce3961352	Annotation	CENT	Left: CENT	VERM	Geometry	3760.5	11585.3	920	0	645	28	347697	3212.7
16.  AN83_coor_573_577.tif	047f64c0-5fa0-44af-a3bb-0b3b9bb85a19	Annotation	CENT2	Left: CENT2	CENT	Polygon	4053.9	11698.7	976	0	920	1	252945.7	1976
16.  AN83_coor_573_577.tif	cdf26ad2-4e4b-4469-a1cb-20d25022b8f0	Annotation	CENT3	Left: CENT3	CENT	Polygon	2975.5	11283.2	984	0	920	27	94533.8	1235.9
16.  AN83_coor_573_577.tif	3d85ca54-26f1-4129-bbb9-e2b2b659eb5b	Annotation	CUL	Left: CUL	VERM	Polygon	2567	11017.1	928	0	645	16	303296.5	2600.6
16.  AN83_coor_573_577.tif	8a71dd66-be1a-4ca4-a258-f8cde59fa212	Annotation	CUL4, 5	Left: CUL4, 5	CUL	Polygon	2567	11017.1	1091	0	928	16	303296.5	2600.6
16.  AN83_coor_573_577.tif	76075759-d5bf-49de-806d-0697671a2121	Annotation	PYR	Left: PYR	VERM	Polygon	3663.4	13352.3	951	0	645	0	34388.8	1066.9
16.  AN83_coor_573_577.tif	d5830936-b395-4c03-b0fc-5036c7acdd1d	Annotation	UVU	Left: UVU	VERM	Geometry	3946.9	13059.5	957	0	645	8	558408.1	4943.8
16.  AN83_coor_573_577.tif	a9dfc905-f2bd-436b-a530-404ce24f2967	Annotation	NOD	Left: NOD	VERM	Polygon	4003.5	12468.1	968	0	645	0	304741.6	2456
16.  AN83_coor_573_577.tif	c316ba86-7836-40c0-bd9e-952fd1a4b2a0	Annotation	CH	Left: CH	grey	Geometry	2265.1	6385.9	567	0	8	1894	17629085.1	45414.6
16.  AN83_coor_573_577.tif	51f7afcf-9b04-4992-982a-1bc3f3d78575	Annotation	CNU	Left: CNU	CH	Geometry	2798.1	6555.6	623	0	567	708	3826870.2	12978.9
16.  AN83_coor_573_577.tif	e444f0b6-e6bc-49e0-8f59-d7ae324d716d	Annotation	PAL	Left: PAL	CNU	Polygon	4055.6	6700	803	0	623	0	78687.7	1211.3
16.  AN83_coor_573_577.tif	cc6d71da-5985-48ab-91bc-64871aae34af	Annotation	PALm	Left: PALm	PAL	Polygon	4056	6701.2	826	0	803	0	78437.7	1209.1
16.  AN83_coor_573_577.tif	6ae0917f-4811-484a-9966-f6fe093d33ea	Annotation	TRS	Left: TRS	PALm	Polygon	4056	6701.2	581	0	826	0	78437.7	1209.1
16.  AN83_coor_573_577.tif	e4d001ae-5e1e-4a69-9190-362c89f8172b	Annotation	STR	Left: STR	CNU	Geometry	2771.7	6552.5	477	0	623	708	3748182.5	13178.3
16.  AN83_coor_573_577.tif	76a751de-41e1-4759-8ab3-04f2dcb883a4	Annotation	LSX	Left: LSX	STR	Geometry	3883.7	6344.3	275	0	477	20	484869.4	4339.9
16.  AN83_coor_573_577.tif	e6653c2b-3f0e-4465-b163-a02163f13998	Annotation	LS	Left: LS	LSX	Geometry	3871.4	6244.5	242	0	275	17	345784.8	2605.5
16.  AN83_coor_573_577.tif	fdbff5a5-ec0a-4b47-a4eb-f3bb3d95fde2	Annotation	LSc	Left: LSc	LS	Polygon	3671.3	6157.9	250	0	242	6	38132	1028.3
16.  AN83_coor_573_577.tif	b04b811c-af6c-4f11-86da-aafff3ee21f3	Annotation	LSr	Left: LSr	LS	Polygon	3896.5	6257.1	258	0	242	11	307576.7	2362.1
16.  AN83_coor_573_577.tif	329f18b3-65ca-4468-88ce-f397468610b4	Annotation	SF	Left: SF	LSX	Geometry	3912	6599.3	310	0	275	3	137861.8	3155.6
16.  AN83_coor_573_577.tif	f0d373fc-a4b0-4ee1-a163-3215bec32a62	Annotation	SH	Left: SH	LSX	Polygon	4197.9	5826.1	333	0	275	0	1222.8	140.42
16.  AN83_coor_573_577.tif	fe6a234f-6b69-4035-bd04-b0e844291b2d	Annotation	STRd	Left: STRd	STR	Polygon	2574.3	6593.4	485	0	477	682	3164033.5	8807.4
