Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Area µm^2	Perimeter µm
2. AN83_coor_293_297.tif	28b09fff-75ce-4447-9a3b-32e8bda1eac8	Annotation	Root		Root object (Image)	Geometry	4559.2	8745	NaN	NaN	NaN	2060	52261932.7	56540.6
2. AN83_coor_293_297.tif	2ee35004-d775-42fb-907d-7ce1d392ab93	Annotation	Root		Root object (Image)	Geometry	4559.2	8745	NaN	NaN	NaN	2060	52261932.7	56540.6
2. AN83_coor_293_297.tif	4a7f4950-2a01-47c1-988f-ffd47d902ba3	Annotation	root	Left: root	Root	Geometry	2898.8	8763.2	997	0	NaN	1108	24606232.6	28507.8
2. AN83_coor_293_297.tif	2b84807e-ce76-4387-9d0c-cda16267e503	Annotation	grey	Left: grey	root	Geometry	2875.2	8757.9	8	0	997	770	22538365.9	49079.3
2. AN83_coor_293_297.tif	c65c31d4-3b18-43f0-9870-2044b06d6ebf	Annotation	CB	Left: CB	grey	Geometry	3163.2	12112.3	512	0	8	68	4185965.9	16899.6
2. AN83_coor_293_297.tif	4c192b49-6872-400b-944e-24fcebb53bee	Annotation	CBX	Left: CBX	CB	Geometry	3162.4	12114	528	0	512	68	4176126.3	16939
2. AN83_coor_293_297.tif	9da2dc43-e8c8-4472-a475-e05e3bdb4cc9	Annotation	HEM	Left: HEM	CBX	Polygon	2459.5	12000.8	1073	0	528	60	1976533.9	8560.8
2. AN83_coor_293_297.tif	703ee5e1-1540-4aa2-a374-d9d0b963cca3	Annotation	SIM	Left: SIM	HEM	Polygon	2543.4	11700.1	1007	0	1073	46	999344.5	7661
2. AN83_coor_293_297.tif	1e08dd21-f97b-490e-9729-63b1004ecfe9	Annotation	AN	Left: AN	HEM	Polygon	2373.7	12308.3	1017	0	1073	14	977189.4	4698.5
2. AN83_coor_293_297.tif	3579c351-dc97-478b-9180-187c6621ddc7	Annotation	ANcr1	Left: ANcr1	AN	Polygon	2373.7	12308.3	1056	0	1017	14	977189.4	4698.5
