area,coor_453_457,coor_393_397,coor_333_337,coor_533_537,coor_553_557,coor_593_597,coor_473_477,coor_613_617,coor_313_317,coor_693_697,coor_713_717,coor_353_357,coor_573_577,coor_413_417,coor_433_437,coor_273_277,coor_633_637,coor_493_497,coor_653_657,coor_373_377,coor_293_297,coor_673_677,coor_253_257,coor_733_737,coor_513_517
Infralimbic area,0.0,0.0,0.0,0.00021685780272445688,0.00024293014596463687,0.0003023191838458356,0.0,0.0002471630795515612,0.0,0.0,0.0,0.0,0.00025405144256260834,0.0,0.0,0.0,0.0003284934364484525,0.0,0.0004095852685561389,0.0,0.0,0.0002916232545685434,0.0,0.0,0.0
Infralimbic area layer 1,0.0,0.0,0.0,0.00015114395362353887,0.00011935951683267587,0.00044703615032335613,0.0,0.00043479327252173407,0.0,0.0,0.0,0.0,0.0005124596323651202,0.0,0.0,0.0,0.0002348342001478074,0.0,0.00030182027809720423,0.0,0.0,0.0003909677755671205,0.0,0.0,0.0
Infralimbic area layer 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infralimbic area layer 2/3,0.0,0.0,0.0,0.0003306326159156622,0.00037256404502944527,0.00029384083678956415,0.0,0.0003634294448459474,0.0,0.0,0.0,0.0,0.00028107333747387606,0.0,0.0,0.0,0.00037534325140340844,0.0,0.0005102551471987974,0.0,0.0,0.0003334737965385419,0.0,0.0,0.0
Infralimbic area layer 5,0.0,0.0,0.0,0.0002618178009922895,0.0003581944742156387,0.00034233011370534533,0.0,0.00023245812847960763,0.0,0.0,0.0,0.0,0.00019984653164621517,0.0,0.0,0.0,0.0005040270158480495,0.0,0.0005582906156422879,0.0,0.0,0.00012754017515517388,0.0,0.0,0.0
Infralimbic area layer 6a,0.0,0.0,0.0,7.989017763580996e-05,8.439545756996161e-05,0.00015972297646961112,0.0,6.771311008571727e-05,0.0,0.0,0.0,0.0,0.0001906908111145822,0.0,0.0,0.0,0.00013018248329596012,0.0,0.0002175434988114214,0.0,0.0,9.423383183030373e-05,0.0,0.0,0.0
Infralimbic area layer 6b,0.0,0.0,0.0,0.00017665347654041832,9.871424693368871e-05,0.00013040019820830128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prelimbic area,9.6302473708706e-05,9.807413777141035e-05,0.0,5.829119365791813e-05,0.0,0.0,9.396198456741519e-05,0.0,0.0,0.0,0.0,1.8473987086683025e-05,0.0,7.564513877809883e-05,8.32099016242086e-05,0.0,0.0,0.00013290059230523663,0.0,6.216180647182552e-05,0.0,0.0,0.0,0.0,0.00017249870923379644
Prelimbic area layer 1,9.616545587234356e-05,8.218003920809672e-05,0.0,0.0,0.0,0.0,0.00010498908113556189,0.0,0.0,0.0,0.0,7.701312303616535e-06,0.0,0.00010248087567113327,8.216737448534123e-05,0.0,0.0,0.00012089580336124874,0.0,5.4224762918172594e-05,0.0,0.0,0.0,0.0,0.00015703279211109125
Prelimbic area layer 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prelimbic area layer 2/3,0.00020532998132138824,0.00011580286004704431,0.0,0.0,0.0,0.0,0.00019840281122941456,0.0,0.0,0.0,0.0,6.145809326265653e-05,0.0,7.77665448324131e-05,0.0001900270499374563,0.0,0.0,0.00033160329675852593,0.0,6.576506417300158e-05,0.0,0.0,0.0,0.0,0.00041776980758894436
Prelimbic area layer 5,8.303333696219768e-05,0.00010006681881127075,0.0,0.00013127580390020414,0.0,0.0,8.382540658038755e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.648918085026969e-05,6.676803796604816e-05,0.0,0.0,0.00013158094320509615,0.0,8.946010824673098e-05,0.0,0.0,0.0,0.0,0.00019977212659426483
Prelimbic area layer 6a,5.511778099614936e-05,0.0,0.0,5.74328657659917e-05,0.0,0.0,5.887794075011308e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.59883574034863e-05,3.3015052505724576e-05,0.0,0.0,6.409295309425899e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.687831444332588e-05
Prelimbic area layer 6b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auditory areas,1.628628265995513e-05,2.1361079629268387e-05,1.2784541025969878e-05,3.0593129141358316e-05,2.637747200520606e-05,6.537780379975795e-05,1.4039530528009401e-05,0.0,1.0878155018495402e-05,0.0,0.0,1.2212164175254913e-05,4.4556871015537363e-05,1.8698978718692323e-05,1.5924380848129338e-05,7.631978995049353e-06,0.0,1.9778767888247325e-05,0.0,9.009875905177183e-06,1.0842361104836597e-05,0.0,1.788804765375895e-05,0.0,2.2791128844611672e-05
Dorsal auditory area,1.6961907897111507e-05,1.3501335957192965e-05,1.777892712256146e-05,0.0,0.0,0.0,6.675464929443674e-06,0.0,1.7012798350136622e-05,0.0,0.0,1.1450390966443053e-05,0.0,2.3776571557078136e-05,2.1407551888560846e-05,6.972755121488637e-06,0.0,1.1660565599621265e-05,0.0,4.381863001637502e-06,1.4709587562077088e-05,0.0,1.3673194249601426e-05,0.0,4.9317122247282625e-05
