area,AN83
Infralimbic area,0.0002662448819491653
Infralimbic area layer 1,0.00030499825378682165
Infralimbic area layer 2,0
Infralimbic area layer 2/3,0.0003455383276450608
Infralimbic area layer 5,0.00030813338313551364
Infralimbic area layer 6a,0.00012203606155697379
Infralimbic area layer 6b,9.455620988452795e-05
Prelimbic area,9.893130944303611e-05
Prelimbic area layer 1,9.046657649700612e-05
Prelimbic area layer 2,0
Prelimbic area layer 2/3,0.00017686471259085264
Prelimbic area layer 5,9.41381510018333e-05
Prelimbic area layer 6a,5.217519046933296e-05
Prelimbic area layer 6b,0.0
Auditory areas,1.8954404103826446e-05
Dorsal auditory area,1.4395024710947264e-05
Dorsal auditory area layer 1,3.494305085309145e-05
Dorsal auditory area layer 2/3,1.3536560089104035e-05
Dorsal auditory area layer 4,1.4534204542622029e-06
Dorsal auditory area layer 5,3.2119568734833204e-06
Dorsal auditory area layer 6a,2.1069553757386193e-05
Dorsal auditory area layer 6b,5.0505987926796114e-05
Laterolateral anterior visual area,0
Laterolateral anterior visual area layer 1,0
Laterolateral anterior visual area layer 2/3,0
Laterolateral anterior visual area layer 4,0
Laterolateral anterior visual arealayer 5,0
Laterolateral anterior visual area layer 6a,0
Laterolateral anterior visual area layer 6b,0
Primary auditory area,1.6897822366592837e-05
Primary auditory area layer 1,2.1573609779806318e-05
Primary auditory area layer 2/3,3.608679924037902e-05
Primary auditory area layer 4,5.4715332150596285e-06
Primary auditory area layer 5,6.422527554891095e-06
Primary auditory area layer 6a,1.4870575157352217e-05
Primary auditory area layer 6b,1.3327095808258543e-05
Posterior auditory area,1.1369506757435479e-05
Posterior auditory area layer 1,6.369516005956771e-06
Posterior auditory area layer 2/3,2.5948058819232718e-05
Posterior auditory area layer 4,2.5076294626400823e-06
Posterior auditory area layer 5,6.020714448682125e-06
Posterior auditory area layer 6a,1.1908876137922886e-05
Posterior auditory area layer 6b,2.0298095805185367e-05
Ventral auditory area,2.671020389121999e-05
Ventral auditory area layer 1,1.9073832569634615e-05
Ventral auditory area layer 2/3,5.515939015663127e-05
Ventral auditory area layer 4,7.580927602469903e-06
Ventral auditory area layer 5,1.8415841536332825e-05
Ventral auditory area layer 6a,2.998229000642575e-05
Ventral auditory area layer 6b,1.690387736913124e-05
Temporal association areas,4.7872979835070934e-05
Temporal association areas layer 1,9.236947754068484e-06
Temporal association areas layer 2/3,6.071475618793756e-05
Temporal association areas layer 4,1.9776373422601558e-05
Temporal association areas layer 5,4.1863793765739846e-05
Temporal association areas layer 6a,9.576354808768289e-05
Temporal association areas layer 6b,5.085141541863733e-05
