area,AN83
Infralimbic area,1129
Infralimbic area layer 1,233
Infralimbic area layer 2,0
Infralimbic area layer 2/3,246
Infralimbic area layer 5,525
Infralimbic area layer 6a,123
Infralimbic area layer 6b,5
Prelimbic area,1277
Prelimbic area layer 1,260
Prelimbic area layer 2,0
Prelimbic area layer 2/3,399
Prelimbic area layer 5,493
Prelimbic area layer 6a,127
Prelimbic area layer 6b,0
Auditory areas,586
Dorsal auditory area,90
Dorsal auditory area layer 1,32
Dorsal auditory area layer 2/3,22
Dorsal auditory area layer 4,1
Dorsal auditory area layer 5,6
Dorsal auditory area layer 6a,21
Dorsal auditory area layer 6b,8
Laterolateral anterior visual area,0
Laterolateral anterior visual area layer 1,0
Laterolateral anterior visual area layer 2/3,0
Laterolateral anterior visual area layer 4,0
Laterolateral anterior visual arealayer 5,0
Laterolateral anterior visual area layer 6a,0
Laterolateral anterior visual area layer 6b,0
Primary auditory area,199
Primary auditory area layer 1,45
Primary auditory area layer 2/3,94
Primary auditory area layer 4,7
Primary auditory area layer 5,25
Primary auditory area layer 6a,24
Primary auditory area layer 6b,4
Posterior auditory area,35
Posterior auditory area layer 1,3
Posterior auditory area layer 2/3,18
Posterior auditory area layer 4,1
Posterior auditory area layer 5,6
Posterior auditory area layer 6a,5
Posterior auditory area layer 6b,2
Ventral auditory area,262
Ventral auditory area layer 1,29
Ventral auditory area layer 2/3,115
Ventral auditory area layer 4,9
Ventral auditory area layer 5,61
Ventral auditory area layer 6a,44
Ventral auditory area layer 6b,4
Temporal association areas,811
Temporal association areas layer 1,26
Temporal association areas layer 2/3,231
Temporal association areas layer 4,34
Temporal association areas layer 5,218
Temporal association areas layer 6a,278
Temporal association areas layer 6b,25
